Scenario,Model,Accuracy,Precision,Recall,F1,ROC_AUC
full,Decision Tree,0.8083296014330497,0.7669491525423728,0.8553875236294896,0.80875781948168,0.8908904798294655
full,Naive Bayes,0.7201074787281684,0.783748361730013,0.5652173913043478,0.656781987918726,0.8041772915577365
full,k-NN,0.8168383340797134,0.8294416243654822,0.7722117202268431,0.7998042094958394,0.8987579938060573
full,Random Forest,0.8575906851768921,0.8251318101933216,0.8875236294896031,0.855191256830601,0.9208353778707317
no_duration,Decision Tree,0.6963725929243171,0.7097130242825607,0.6077504725897921,0.654786150712831,0.7376644009170255
no_duration,Naive Bayes,0.6856247201074788,0.7572254335260116,0.4952741020793951,0.5988571428571429,0.7360853477054257
no_duration,k-NN,0.7075682937751904,0.755359394703657,0.5661625708884688,0.6472177201512695,0.7605035595060934
no_duration,Random Forest,0.728616211374832,0.7832080200501254,0.5907372400756143,0.6734913793103449,0.78594296746169
